rank,country_full,total_points,previous_points,rank_change,rank_date
156,Cayman Islands,0,0,0,1993-10-22
157,Liechtenstein,0,0,0,1993-10-22
158,Chinese Taipei,0,0,1,1993-10-22
159,Sri Lanka,0,0,2,1993-10-22
159,Equatorial Guinea,0,0,0,1993-10-22
159,Nepal,0,0,-1,1993-10-22
162,Philippines,0,0,0,1993-10-22
163,Vanuatu,0,0,1,1993-10-22
164,Chad,0,0,-1,1993-10-22
165,Aruba,0,0,0,1993-10-22
166,Bahamas,0,0,0,1993-10-22
166,Macau,0,0,0,1993-10-22
166,Maldives,0,0,0,1993-10-22
1,Italy,0,58,2,1993-11-19
2,Netherlands,0,55,4,1993-11-19
3,Germany,0,58,1,1993-11-19
4,Brazil,0,58,-3,1993-11-19
5,Norway,0,58,-3,1993-11-19
6,Denmark,0,57,-1,1993-11-19
7,Spain,0,55,0,1993-11-19
8,England,0,54,2,1993-11-19
9,Switzerland,0,53,4,1993-11-19
9,Argentina,0,55,0,1993-11-19
11,Sweden,0,55,-3,1993-11-19
12,Romania,0,52,3,1993-11-19
13,Republic of Ireland,0,54,-2,1993-11-19
14,Russia,0,54,-3,1993-11-19
15,France,0,52,-1,1993-11-19
16,Nigeria,0,51,0,1993-11-19
17,Mexico,0,50,1,1993-11-19
18,Uruguay,0,51,-1,1993-11-19
19,RCS,0,47,2,1993-11-19
20,Portugal,0,49,0,1993-11-19
21,Colombia,0,49,-2,1993-11-19
22,Belgium,0,45,2,1993-11-19
23,Bulgaria,0,42,9,1993-11-19
24,Cameroon,0,46,-2,1993-11-19
25,Scotland,0,43,4,1993-11-19
26,Poland,0,46,-3,1993-11-19
27,USA,0,44,-1,1993-11-19
28,Wales,0,44,0,1993-11-19
29,Zambia,0,45,-4,1993-11-19
30,Morocco,0,43,0,1993-11-19
31,Egypt,0,44,-4,1993-11-19
32,Greece,0,39,4,1993-11-19
33,Algeria,0,42,-2,1993-11-19
34,Côte d'Ivoire,0,41,-1,1993-11-19
35,Austria,0,40,-1,1993-11-19
36,Tunisia,0,40,-1,1993-11-19
37,Costa Rica,0,37,1,1993-11-19
38,Saudi Arabia,0,34,8,1993-11-19
39,Korea Republic,0,38,-2,1993-11-19
40,Honduras,0,37,-1,1993-11-19
41,Ghana,0,36,-1,1993-11-19
42,Northern Ireland,0,36,0,1993-11-19
43,Japan,0,34,1,1993-11-19
44,Finland,0,34,1,1993-11-19
45,Iceland,0,33,5,1993-11-19
46,Zimbabwe,0,36,-3,1993-11-19
47,Ecuador,0,36,-6,1993-11-19
48,Canada,0,34,-1,1993-11-19
49,Australia,0,29,12,1993-11-19
50,Hungary,0,33,-1,1993-11-19
51,Turkey,0,27,16,1993-11-19
52,China PR,0,34,-4,1993-11-19
53,Chile,0,31,-1,1993-11-19
54,Qatar,0,32,-3,1993-11-19
55,United Arab Emirates,0,31,0,1993-11-19
56,Gabon,0,31,-2,1993-11-19
57,Korea DPR,0,30,1,1993-11-19
58,IR Iran,0,30,1,1993-11-19
59,Bolivia,0,31,-6,1993-11-19
60,Israel,0,28,6,1993-11-19
61,Paraguay,0,31,-5,1993-11-19
62,Guinea,0,29,1,1993-11-19
63,Senegal,0,30,-6,1993-11-19
64,Kuwait,0,29,-2,1993-11-19
65,El Salvador,0,29,-5,1993-11-19
66,Iraq,0,29,-2,1993-11-19
67,Yugoslavia,0,28,-2,1993-11-19
68,Thailand,0,26,0,1993-11-19
69,Malawi,0,26,0,1993-11-19
70,Zaire,0,25,0,1993-11-19
71,Peru,0,25,0,1993-11-19
72,Kenya,0,25,0,1993-11-19
73,Cyprus,0,23,2,1993-11-19
74,Singapore,0,23,0,1993-11-19
75,Mali,0,24,-2,1993-11-19
76,New Zealand,0,21,1,1993-11-19
77,Malaysia,0,21,2,1993-11-19
78,Bahrain,0,20,2,1993-11-19
79,Jamaica,0,22,-3,1993-11-19
80,Syria,0,20,1,1993-11-19
81,Niger,0,20,1,1993-11-19
82,Bermuda,0,21,-4,1993-11-19
83,Lithuania,0,18,2,1993-11-19
84,Sierra Leone,0,20,-1,1993-11-19
85,Malta,0,19,-1,1993-11-19
86,Madagascar,0,18,0,1993-11-19
87,Jordan,0,16,2,1993-11-19
88,Latvia,0,17,-1,1993-11-19
89,Trinidad and Tobago,0,17,-1,1993-11-19
90,Yemen,0,16,3,1993-11-19
91,Ethiopia,0,16,-1,1993-11-19
92,Ukraine,0,8,28,1993-11-19
93,Albania,0,16,-2,1993-11-19
94,Venezuela,0,15,0,1993-11-19
95,Uganda,0,15,1,1993-11-19
96,South Africa,0,15,-1,1993-11-19
97,Swaziland,0,16,-5,1993-11-19
98,Angola,0,13,-1,1993-11-19
99,India,0,13,1,1993-11-19
100,Oman,0,13,1,1993-11-19
101,Tanzania,0,13,-2,1993-11-19
102,Burundi,0,13,-4,1993-11-19
103,Congo,0,12,-1,1993-11-19
104,Indonesia,0,12,-1,1993-11-19
105,Mozambique,0,12,-1,1993-11-19
106,Puerto Rico,0,12,-1,1993-11-19
107,Fiji,0,11,1,1993-11-19
108,Luxembourg,0,11,-2,1993-11-19
109,Myanmar,0,11,0,1993-11-19
109,Estonia,0,8,10,1993-11-19
111,Lebanon,0,11,0,1993-11-19
112,Hong Kong,0,11,-2,1993-11-19
113,Barbados,0,11,-1,1993-11-19
114,Togo,0,11,-8,1993-11-19
115,Faroe Islands,0,10,-2,1993-11-19
116,Suriname,0,9,-1,1993-11-19
117,Guatemala,0,9,-3,1993-11-19
118,Sudan,0,9,-1,1993-11-19
119,Liberia,0,9,-3,1993-11-19
120,San Marino,0,8,2,1993-11-19
121,Croatia,0,9,-3,1993-11-19
122,Bangladesh,0,8,-1,1993-11-19
123,Burkina Faso,0,8,0,1993-11-19
124,Netherlands Antilles,0,7,0,1993-11-19
125,St Vincent and the Grenadines,0,7,0,1993-11-19
126,Benin,0,7,0,1993-11-19
127,Panama,0,6,1,1993-11-19
128,Mauritius,0,6,-1,1993-11-19
129,Antigua and Barbuda,0,6,0,1993-11-19
130,Slovenia,0,5,0,1993-11-19
131,Vietnam,0,4,2,1993-11-19
132,Guinea-Bissau,0,5,-1,1993-11-19
133,Guyana,0,4,1,1993-11-19
134,Belarus,0,5,-2,1993-11-19
135,Lesotho,0,4,0,1993-11-19
136,St Lucia,0,4,0,1993-11-19
137,Botswana,0,4,0,1993-11-19
138,Tahiti,0,3,0,1993-11-19
139,Grenada,0,3,0,1993-11-19
140,Haiti,0,3,0,1993-11-19
141,Laos,0,2,0,1993-11-19
142,Cape Verde Islands,0,2,0,1993-11-19
143,Solomon Islands,0,1,2,1993-11-19
144,Mauritania,0,2,-1,1993-11-19
145,Pakistan,0,2,-1,1993-11-19
146,Slovakia,0,0,0,1993-11-19
147,Brunei Darussalam,0,1,-1,1993-11-19
149,Libya,0,1,-1,1993-11-19
150,Dominican Republic,0,1,-1,1993-11-19
151,Cayman Islands,0,0,5,1993-11-19
152,Nicaragua,0,0,-2,1993-11-19
153,Gambia,0,0,-1,1993-11-19
154,Namibia,0,0,1,1993-11-19
155,Seychelles,0,0,-2,1993-11-19
155,Cuba,0,0,-4,1993-11-19
157,Central African Republic,0,0,-4,1993-11-19
