rank;country_full;total_points;previous_points;rank_change;rank_date
19;Colombia;0;47;0;23/09/1993
20;Romania;0;47;1;23/09/1993
21;Portugal;0;45;2;23/09/1993
22;Poland;0;47;-2;23/09/1993
23;Cameroon;0;45;1;23/09/1993
24;Belgium;0;47;-6;23/09/1993
25;Egypt;0;44;1;23/09/1993
26;USA;0;44;2;23/09/1993
27;Zambia;0;44;-2;23/09/1993
28;Scotland;0;41;2;23/09/1993
29;Wales;0;44;-2;23/09/1993
30;Algeria;0;39;4;23/09/1993
31;Côte d'Ivoire;0;42;-2;23/09/1993
32;Morocco;0;40;1;23/09/1993
33;Austria;0;39;5;23/09/1993
34;Tunisia;0;40;-3;23/09/1993
35;Greece;0;40;-3;23/09/1993
36;Korea Republic;0;39;0;23/09/1993
37;Bulgaria;0;39;0;23/09/1993
38;Costa Rica;0;38;1;23/09/1993
39;Honduras;0;37;2;23/09/1993
40;Northern Ireland;0;37;0;23/09/1993
41;Ecuador;0;39;-6;23/09/1993
42;Ghana;0;33;6;23/09/1993
43;Japan;0;34;0;23/09/1993
44;Saudi Arabia;0;34;0;23/09/1993
45;China PR;0;34;0;23/09/1993
46;Canada;0;34;0;23/09/1993
47;Zimbabwe;0;33;3;23/09/1993
48;Hungary;0;36;-6;23/09/1993
49;Iceland;0;31;4;23/09/1993
50;Finland;0;34;-3;23/09/1993
51;Gabon;0;28;13;23/09/1993
52;Chile;0;33;-3;23/09/1993
53;Bolivia;0;30;6;23/09/1993
54;Qatar;0;32;-3;23/09/1993
55;Paraguay;0;27;12;23/09/1993
56;United Arab Emirates;0;31;-1;23/09/1993
57;Senegal;0;30;1;23/09/1993
58;IR Iran;0;31;-4;23/09/1993
59;Iraq;0;30;-2;23/09/1993
60;Guinea;0;27;5;23/09/1993
61;Kuwait;0;30;-1;23/09/1993
62;Yugoslavia;0;31;-6;23/09/1993
63;El Salvador;0;29;-1;23/09/1993
64;Korea DPR;0;30;-3;23/09/1993
65;Australia;0;31;-13;23/09/1993
66;Turkey;0;28;-3;23/09/1993
67;Thailand;0;27;-1;23/09/1993
68;Malawi;0;27;0;23/09/1993
69;Zaire;0;25;2;23/09/1993
70;Mali;0;24;4;23/09/1993
71;Israel;0;26;-2;23/09/1993
72;Kenya;0;17;16;23/09/1993
73;Peru;0;26;-3;23/09/1993
74;Cyprus;0;24;-2;23/09/1993
75;Singapore;0;24;-2;23/09/1993
76;Jamaica;0;19;7;23/09/1993
77;Malaysia;0;22;-2;23/09/1993
78;Bermuda;0;21;-2;23/09/1993
79;Sierra Leone;0;18;7;23/09/1993
80;Bahrain;0;20;-1;23/09/1993
81;Syria;0;20;-3;23/09/1993
82;Niger;0;21;-5;23/09/1993
83;Madagascar;0;20;-2;23/09/1993
84;New Zealand;0;20;-4;23/09/1993
85;Malta;0;19;-3;23/09/1993
86;Lithuania;0;18;-2;23/09/1993
87;Latvia;0;16;2;23/09/1993
88;Trinidad and Tobago;0;18;-3;23/09/1993
89;Jordan;0;17;-2;23/09/1993
90;Yemen;0;16;0;23/09/1993
91;Albania;0;15;1;23/09/1993
92;Ethiopia;0;14;3;23/09/1993
93;Swaziland;0;11;9;23/09/1993
94;Venezuela;0;14;0;23/09/1993
95;South Africa;0;11;14;23/09/1993
96;Uganda;0;11;8;23/09/1993
97;Angola;0;15;-4;23/09/1993
98;Burundi;0;13;-2;23/09/1993
99;Tanzania;0;15;-8;23/09/1993
100;Oman;0;13;-3;23/09/1993
101;Congo;0;11;6;23/09/1993
102;Indonesia;0;13;-4;23/09/1993
103;Mozambique;0;12;-3;23/09/1993
104;Togo;0;9;10;23/09/1993
105;Puerto Rico;0;11;-4;23/09/1993
106;Hong Kong;0;11;-3;23/09/1993
107;Myanmar;0;11;-1;23/09/1993
108;Barbados;0;11;-3;23/09/1993
109;Lebanon;0;11;-1;23/09/1993
110;Luxembourg;0;10;0;23/09/1993
111;Faroe Islands;0;10;0;23/09/1993
112;Liberia;0;12;-13;23/09/1993
113;Guatemala;0;10;-1;23/09/1993
114;Suriname;0;9;1;23/09/1993
115;Sudan;0;7;11;23/09/1993
116;Croatia;0;9;1;23/09/1993
117;Estonia;0;8;1;23/09/1993
118;San Marino;0;8;1;23/09/1993
119;Bangladesh;0;8;1;23/09/1993
119;Burkina Faso;0;9;-6;23/09/1993
121;Fiji;0;9;-5;23/09/1993
122;Netherlands Antilles;0;7;0;23/09/1993
123;St Vincent and the Grenadines;0;8;-2;23/09/1993
124;Benin;0;7;0;23/09/1993
124;Mauritius;0;7;-1;23/09/1993
126;Panama;0;7;-1;23/09/1993
127;Antigua and Barbuda;0;6;0;23/09/1993
128;Slovenia;0;5;0;23/09/1993
129;India;0;5;0;23/09/1993
130;Guinea-Bissau;0;4;3;23/09/1993
131;Belarus;0;5;-1;23/09/1993
132;Ukraine;0;4;-1;23/09/1993
133;Vietnam;0;4;-1;23/09/1993
134;Guyana;0;4;0;23/09/1993
135;Lesotho;0;1;11;23/09/1993
136;Botswana;0;4;-1;23/09/1993
137;St Lucia;0;4;-1;23/09/1993
138;Tahiti;0;4;-1;23/09/1993
139;Grenada;0;4;-1;23/09/1993
140;Haiti;0;3;-1;23/09/1993
141;Laos;0;2;0;23/09/1993
142;Cape Verde Islands;0;2;1;23/09/1993
143;Solomon Islands;0;2;1;23/09/1993
144;Mauritania;0;2;-2;23/09/1993
145;Brunei Darussalam;0;2;0;23/09/1993
147;Libya;0;2;-7;23/09/1993
148;Dominican Republic;0;1;0;23/09/1993
149;Pakistan;0;1;0;23/09/1993
150;Nicaragua;0;0;0;23/09/1993
151;Cuba;0;0;0;23/09/1993
152;Seychelles;0;0;0;23/09/1993
152;Gambia;0;0;2;23/09/1993
154;Central African Republic;0;0;-1;23/09/1993
155;Namibia;0;0;0;23/09/1993
156;Cayman Islands;0;0;0;23/09/1993
157;Liechtenstein;0;0;1;23/09/1993
158;Nepal;0;0;-1;23/09/1993
159;Chinese Taipei;0;0;1;23/09/1993
159;Equatorial Guinea;0;0;0;23/09/1993
161;Sri Lanka;0;0;0;23/09/1993
162;Philippines;0;0;0;23/09/1993
163;Chad;0;0;0;23/09/1993
164;Vanuatu;0;0;0;23/09/1993
165;Aruba;0;0;0;23/09/1993
166;Bahamas;0;0;0;23/09/1993
166;Macau;0;0;1;23/09/1993
166;Maldives;0;0;1;23/09/1993
1;Brazil;0;59;0;22/10/1993
2;Norway;0;56;1;22/10/1993
3;Italy;0;57;-1;22/10/1993
4;Germany;0;55;1;22/10/1993
5;Denmark;0;56;-1;22/10/1993
6;Netherlands;0;53;7;22/10/1993
7;Spain;0;52;7;22/10/1993
8;Sweden;0;55;3;22/10/1993
9;Argentina;0;55;3;22/10/1993
10;England;0;55;-5;22/10/1993
11;Russia;0;55;-3;22/10/1993
11;Republic of Ireland;0;55;-2;22/10/1993
13;Switzerland;0;55;-3;22/10/1993
14;France;0;55;-7;22/10/1993
15;Romania;0;48;5;22/10/1993
16;Nigeria;0;50;2;22/10/1993
17;Uruguay;0;51;-2;22/10/1993
18;Mexico;0;51;-2;22/10/1993
19;Colombia;0;49;0;22/10/1993
20;Portugal;0;47;1;22/10/1993
21;RCS;0;50;-4;22/10/1993
22;Cameroon;0;46;1;22/10/1993
23;Poland;0;47;-1;22/10/1993
24;Belgium;0;45;0;22/10/1993
25;Zambia;0;44;2;22/10/1993
26;USA;0;45;0;22/10/1993
27;Egypt;0;45;-2;22/10/1993
28;Wales;0;43;1;22/10/1993
29;Scotland;0;43;-1;22/10/1993
30;Morocco;0;41;2;22/10/1993
31;Algeria;0;42;-1;22/10/1993
32;Bulgaria;0;38;5;22/10/1993
33;Côte d'Ivoire;0;42;-2;22/10/1993
34;Austria;0;40;-1;22/10/1993
35;Tunisia;0;40;-1;22/10/1993
36;Greece;0;39;-1;22/10/1993
37;Korea Republic;0;38;-1;22/10/1993
38;Costa Rica;0;37;0;22/10/1993
39;Honduras;0;37;0;22/10/1993
40;Ghana;0;36;2;22/10/1993
41;Ecuador;0;36;0;22/10/1993
42;Northern Ireland;0;37;-2;22/10/1993
43;Zimbabwe;0;34;4;22/10/1993
44;Japan;0;34;-1;22/10/1993
45;Finland;0;32;5;22/10/1993
46;Saudi Arabia;0;34;-2;22/10/1993
47;Canada;0;34;-1;22/10/1993
48;China PR;0;34;-3;22/10/1993
49;Hungary;0;34;-1;22/10/1993
50;Iceland;0;33;-1;22/10/1993
51;Qatar;0;32;3;22/10/1993
52;Chile;0;32;0;22/10/1993
53;Bolivia;0;32;0;22/10/1993
54;Gabon;0;32;-3;22/10/1993
55;United Arab Emirates;0;31;1;22/10/1993
56;Paraguay;0;31;-1;22/10/1993
57;Senegal;0;31;0;22/10/1993
58;Korea DPR;0;29;6;22/10/1993
59;IR Iran;0;30;-1;22/10/1993
60;El Salvador;0;29;3;22/10/1993
61;Australia;0;28;4;22/10/1993
62;Kuwait;0;30;-1;22/10/1993
63;Guinea;0;30;-3;22/10/1993
64;Iraq;0;30;-5;22/10/1993
65;Yugoslavia;0;29;-3;22/10/1993
66;Israel;0;25;5;22/10/1993
67;Turkey;0;27;-1;22/10/1993
68;Thailand;0;26;-1;22/10/1993
69;Malawi;0;26;-1;22/10/1993
70;Zaire;0;26;-1;22/10/1993
71;Peru;0;25;2;22/10/1993
72;Kenya;0;25;0;22/10/1993
73;Mali;0;26;-3;22/10/1993
74;Singapore;0;24;1;22/10/1993
75;Cyprus;0;24;-1;22/10/1993
76;Jamaica;0;22;0;22/10/1993
77;New Zealand;0;20;7;22/10/1993
78;Bermuda;0;21;0;22/10/1993
79;Malaysia;0;21;-2;22/10/1993
80;Bahrain;0;20;0;22/10/1993
81;Syria;0;20;0;22/10/1993
82;Niger;0;20;0;22/10/1993
83;Sierra Leone;0;21;-4;22/10/1993
84;Malta;0;19;1;22/10/1993
85;Lithuania;0;18;1;22/10/1993
86;Madagascar;0;20;-3;22/10/1993
87;Latvia;0;17;0;22/10/1993
88;Trinidad and Tobago;0;17;0;22/10/1993
89;Jordan;0;17;0;22/10/1993
90;Ethiopia;0;16;2;22/10/1993
91;Albania;0;16;0;22/10/1993
92;Swaziland;0;16;1;22/10/1993
93;Yemen;0;16;-3;22/10/1993
94;Venezuela;0;16;0;22/10/1993
95;South Africa;0;15;0;22/10/1993
96;Uganda;0;15;0;22/10/1993
97;Angola;0;14;0;22/10/1993
98;Burundi;0;13;0;22/10/1993
99;Tanzania;0;13;0;22/10/1993
100;India;0;5;29;22/10/1993
101;Oman;0;13;-1;22/10/1993
102;Congo;0;13;-1;22/10/1993
103;Indonesia;0;13;-1;22/10/1993
104;Mozambique;0;12;-1;22/10/1993
105;Puerto Rico;0;11;0;22/10/1993
106;Luxembourg;0;11;4;22/10/1993
106;Togo;0;12;-2;22/10/1993
108;Fiji;0;8;13;22/10/1993
109;Myanmar;0;11;-2;22/10/1993
110;Hong Kong;0;11;-4;22/10/1993
111;Lebanon;0;11;-2;22/10/1993
112;Barbados;0;11;-4;22/10/1993
113;Faroe Islands;0;10;-2;22/10/1993
114;Guatemala;0;9;-1;22/10/1993
115;Suriname;0;9;-1;22/10/1993
116;Liberia;0;9;-4;22/10/1993
117;Sudan;0;9;-2;22/10/1993
118;Croatia;0;9;-2;22/10/1993
119;Estonia;0;8;-2;22/10/1993
120;Ukraine;0;4;12;22/10/1993
121;Bangladesh;0;8;-2;22/10/1993
122;San Marino;0;8;-4;22/10/1993
123;Burkina Faso;0;8;-4;22/10/1993
124;Netherlands Antilles;0;7;-2;22/10/1993
125;St Vincent and the Grenadines;0;7;-2;22/10/1993
126;Benin;0;7;-2;22/10/1993
127;Mauritius;0;7;-3;22/10/1993
128;Panama;0;6;-2;22/10/1993
129;Antigua and Barbuda;0;6;-2;22/10/1993
130;Slovenia;0;5;-2;22/10/1993
131;Guinea-Bissau;0;5;-1;22/10/1993
132;Belarus;0;5;-1;22/10/1993
133;Vietnam;0;4;0;22/10/1993
134;Guyana;0;4;0;22/10/1993
135;Lesotho;0;4;0;22/10/1993
136;St Lucia;0;4;1;22/10/1993
137;Botswana;0;4;-1;22/10/1993
138;Tahiti;0;4;0;22/10/1993
139;Grenada;0;3;0;22/10/1993
140;Haiti;0;3;0;22/10/1993
141;Laos;0;2;0;22/10/1993
142;Cape Verde Islands;0;2;0;22/10/1993
143;Mauritania;0;2;1;22/10/1993
144;Pakistan;0;1;5;22/10/1993
145;Solomon Islands;0;2;-2;22/10/1993
146;Brunei Darussalam;0;1;-1;22/10/1993
148;Libya;0;1;-1;22/10/1993
149;Dominican Republic;0;1;-1;22/10/1993
150;Nicaragua;0;0;0;22/10/1993
151;Cuba;0;0;0;22/10/1993
152;Gambia;0;0;0;22/10/1993
153;Seychelles;0;0;-1;22/10/1993
153;Central African Republic;0;0;1;22/10/1993
155;Namibia;0;0;0;22/10/1993
156;Cayman Islands;0;0;0;22/10/1993
157;Liechtenstein;0;0;0;22/10/1993
158;Chinese Taipei;0;0;1;22/10/1993
159;Sri Lanka;0;0;2;22/10/1993
159;Equatorial Guinea;0;0;0;22/10/1993
159;Nepal;0;0;-1;22/10/1993
162;Philippines;0;0;0;22/10/1993
163;Vanuatu;0;0;1;22/10/1993
164;Chad;0;0;-1;22/10/1993
165;Aruba;0;0;0;22/10/1993
166;Bahamas;0;0;0;22/10/1993
166;Macau;0;0;0;22/10/1993
166;Maldives;0;0;0;22/10/1993
1;Italy;0;58;2;19/11/1993
2;Netherlands;0;55;4;19/11/1993
3;Germany;0;58;1;19/11/1993
4;Brazil;0;58;-3;19/11/1993
5;Norway;0;58;-3;19/11/1993
6;Denmark;0;57;-1;19/11/1993
7;Spain;0;55;0;19/11/1993
8;England;0;54;2;19/11/1993
9;Switzerland;0;53;4;19/11/1993
9;Argentina;0;55;0;19/11/1993
11;Sweden;0;55;-3;19/11/1993
12;Romania;0;52;3;19/11/1993
13;Republic of Ireland;0;54;-2;19/11/1993
14;Russia;0;54;-3;19/11/1993
15;France;0;52;-1;19/11/1993
16;Nigeria;0;51;0;19/11/1993
17;Mexico;0;50;1;19/11/1993
18;Uruguay;0;51;-1;19/11/1993
19;RCS;0;47;2;19/11/1993
20;Portugal;0;49;0;19/11/1993
21;Colombia;0;49;-2;19/11/1993
22;Belgium;0;45;2;19/11/1993
23;Bulgaria;0;42;9;19/11/1993
24;Cameroon;0;46;-2;19/11/1993
25;Scotland;0;43;4;19/11/1993
26;Poland;0;46;-3;19/11/1993
27;USA;0;44;-1;19/11/1993
28;Wales;0;44;0;19/11/1993
29;Zambia;0;45;-4;19/11/1993
30;Morocco;0;43;0;19/11/1993
31;Egypt;0;44;-4;19/11/1993
32;Greece;0;39;4;19/11/1993
33;Algeria;0;42;-2;19/11/1993
34;Côte d'Ivoire;0;41;-1;19/11/1993
35;Austria;0;40;-1;19/11/1993
36;Tunisia;0;40;-1;19/11/1993
37;Costa Rica;0;37;1;19/11/1993
38;Saudi Arabia;0;34;8;19/11/1993
39;Korea Republic;0;38;-2;19/11/1993
40;Honduras;0;37;-1;19/11/1993
41;Ghana;0;36;-1;19/11/1993
42;Northern Ireland;0;36;0;19/11/1993
43;Japan;0;34;1;19/11/1993
44;Finland;0;34;1;19/11/1993
45;Iceland;0;33;5;19/11/1993
46;Zimbabwe;0;36;-3;19/11/1993
47;Ecuador;0;36;-6;19/11/1993
48;Canada;0;34;-1;19/11/1993
49;Australia;0;29;12;19/11/1993
50;Hungary;0;33;-1;19/11/1993
51;Turkey;0;27;16;19/11/1993
52;China PR;0;34;-4;19/11/1993
53;Chile;0;31;-1;19/11/1993
54;Qatar;0;32;-3;19/11/1993
55;United Arab Emirates;0;31;0;19/11/1993
56;Gabon;0;31;-2;19/11/1993
57;Korea DPR;0;30;1;19/11/1993
58;IR Iran;0;30;1;19/11/1993
59;Bolivia;0;31;-6;19/11/1993
60;Israel;0;28;6;19/11/1993
61;Paraguay;0;31;-5;19/11/1993
62;Guinea;0;29;1;19/11/1993
63;Senegal;0;30;-6;19/11/1993
64;Kuwait;0;29;-2;19/11/1993
65;El Salvador;0;29;-5;19/11/1993
66;Iraq;0;29;-2;19/11/1993
67;Yugoslavia;0;28;-2;19/11/1993
68;Thailand;0;26;0;19/11/1993
69;Malawi;0;26;0;19/11/1993
70;Zaire;0;25;0;19/11/1993
71;Peru;0;25;0;19/11/1993
72;Kenya;0;25;0;19/11/1993
73;Cyprus;0;23;2;19/11/1993
74;Singapore;0;23;0;19/11/1993
75;Mali;0;24;-2;19/11/1993
76;New Zealand;0;21;1;19/11/1993
77;Malaysia;0;21;2;19/11/1993
78;Bahrain;0;20;2;19/11/1993
79;Jamaica;0;22;-3;19/11/1993
80;Syria;0;20;1;19/11/1993
81;Niger;0;20;1;19/11/1993
82;Bermuda;0;21;-4;19/11/1993
83;Lithuania;0;18;2;19/11/1993
84;Sierra Leone;0;20;-1;19/11/1993
85;Malta;0;19;-1;19/11/1993
86;Madagascar;0;18;0;19/11/1993
87;Jordan;0;16;2;19/11/1993
88;Latvia;0;17;-1;19/11/1993
89;Trinidad and Tobago;0;17;-1;19/11/1993
90;Yemen;0;16;3;19/11/1993
91;Ethiopia;0;16;-1;19/11/1993
92;Ukraine;0;8;28;19/11/1993
93;Albania;0;16;-2;19/11/1993
94;Venezuela;0;15;0;19/11/1993
95;Uganda;0;15;1;19/11/1993
96;South Africa;0;15;-1;19/11/1993
97;Swaziland;0;16;-5;19/11/1993
98;Angola;0;13;-1;19/11/1993
99;India;0;13;1;19/11/1993
100;Oman;0;13;1;19/11/1993
101;Tanzania;0;13;-2;19/11/1993
102;Burundi;0;13;-4;19/11/1993
103;Congo;0;12;-1;19/11/1993
104;Indonesia;0;12;-1;19/11/1993
105;Mozambique;0;12;-1;19/11/1993
106;Puerto Rico;0;12;-1;19/11/1993
107;Fiji;0;11;1;19/11/1993
108;Luxembourg;0;11;-2;19/11/1993
109;Myanmar;0;11;0;19/11/1993
109;Estonia;0;8;10;19/11/1993
111;Lebanon;0;11;0;19/11/1993
112;Hong Kong;0;11;-2;19/11/1993
113;Barbados;0;11;-1;19/11/1993
114;Togo;0;11;-8;19/11/1993
115;Faroe Islands;0;10;-2;19/11/1993
116;Suriname;0;9;-1;19/11/1993
117;Guatemala;0;9;-3;19/11/1993
118;Sudan;0;9;-1;19/11/1993
119;Liberia;0;9;-3;19/11/1993
120;San Marino;0;8;2;19/11/1993
121;Croatia;0;9;-3;19/11/1993
122;Bangladesh;0;8;-1;19/11/1993
123;Burkina Faso;0;8;0;19/11/1993
124;Netherlands Antilles;0;7;0;19/11/1993
125;St Vincent and the Grenadines;0;7;0;19/11/1993
126;Benin;0;7;0;19/11/1993
127;Panama;0;6;1;19/11/1993
128;Mauritius;0;6;-1;19/11/1993
129;Antigua and Barbuda;0;6;0;19/11/1993
130;Slovenia;0;5;0;19/11/1993
131;Vietnam;0;4;2;19/11/1993
132;Guinea-Bissau;0;5;-1;19/11/1993
133;Guyana;0;4;1;19/11/1993
134;Belarus;0;5;-2;19/11/1993
135;Lesotho;0;4;0;19/11/1993
136;St Lucia;0;4;0;19/11/1993
137;Botswana;0;4;0;19/11/1993
138;Tahiti;0;3;0;19/11/1993
139;Grenada;0;3;0;19/11/1993
140;Haiti;0;3;0;19/11/1993
141;Laos;0;2;0;19/11/1993
142;Cape Verde Islands;0;2;0;19/11/1993
143;Solomon Islands;0;1;2;19/11/1993
144;Mauritania;0;2;-1;19/11/1993
145;Pakistan;0;2;-1;19/11/1993
146;Slovakia;0;0;0;19/11/1993
147;Brunei Darussalam;0;1;-1;19/11/1993
149;Libya;0;1;-1;19/11/1993
150;Dominican Republic;0;1;-1;19/11/1993
151;Cayman Islands;0;0;5;19/11/1993
152;Nicaragua;0;0;-2;19/11/1993
153;Gambia;0;0;-1;19/11/1993
154;Namibia;0;0;1;19/11/1993
155;Seychelles;0;0;-2;19/11/1993
155;Cuba;0;0;-4;19/11/1993
157;Central African Republic;0;0;-4;19/11/1993
